scheme,instance,method,alpha,status,objective,f_true,feasible,u_at_xstar,covered_at_xstar,slack,x0,x1,x2,x3,x4
paper,9,cmicl,0.1,optimal,35.05150020952519,48.589483199095014,0,0.13440142149691486,0,-1.4105168009049933,893.1408928244015,1190.8545237658686,997.18,1.1364639967515069,11.883839732907987
paper,9,nominal,0.1,optimal,35.04941530483839,47.31808784991452,0,0.09621523247877367,0,-1.3557202357368539,893.4473056728197,1191.2630742304264,997.1800000000001,1.0906167026426379,10.906167026426381
paper,10,cmicl,0.1,optimal,47.56229862317103,48.76525600196139,0,-2.7755575615628914e-16,0,-1.23474399803861,886.842513147123,1182.4566841961641,997.18,0.9962935930508597,17.598184039156322
paper,10,nominal,0.1,optimal,47.671098759734626,47.31808784991452,0,0.09621523247877367,0,-1.3557202357368539,893.4473056728197,1191.2630742304264,997.1800000000001,1.0906167026426379,10.906167026426381
paper,11,cmicl,0.1,optimal,19.395166259768423,52.72948147767517,1,1.349509460232748,1,2.729481477675172,1096.8980000000001,1462.5306666666668,997.18,2.0,45.49561241074971
paper,11,nominal,0.1,optimal,19.361660006246765,50.71369974268511,1,2.544270313456154,1,6.9187343183255905,1096.8980000000001,1462.5306666666668,997.1800000000001,2.0,54.84490000000001
paper,12,cmicl,0.1,optimal,-8.961978982166007,54.38159615394727,1,2.3096520148171353,1,3.644764398099042,1482.932,1500.0,1348.12,0.5,74.1466
paper,12,nominal,0.1,optimal,-8.961978982166007,54.38159615394727,1,2.3096520148171353,1,3.644764398099042,1482.932,1500.0,1348.12,0.5,74.1466
paper,13,cmicl,0.1,optimal,44.46636550027775,48.765256001961426,0,1.4988010832439613e-15,0,-1.2347439980385744,886.8425131471231,1182.4566841961641,997.18,0.9962935930508602,17.598184039156315
paper,13,nominal,0.1,optimal,44.54701694112996,47.31808784991449,0,0.09621523247877634,0,-1.3557202357368539,893.4473056728193,1191.2630742304257,997.1800000000001,1.0906167026426379,10.906167026426381
paper,14,cmicl,0.1,optimal,44.242989856621946,44.105999010759604,0,0.08414167956497048,0,-5.894000989240389,1096.898,923.869923496876,997.18,0.5,38.20679118255265
paper,14,nominal,0.1,optimal,44.89889082147823,48.838576428809276,0,1.4329133247220283,1,4.135677294350614,1096.898,874.043972516766,997.1800000000001,1.148536779614103,11.485367796141034
paper,15,cmicl,0.1,optimal,49.508383813299744,44.10599901075962,0,0.08414167956497182,0,-5.894000989240375,1096.8980000000001,923.8699234968758,997.18,0.5,38.20679118255265
paper,15,nominal,0.1,optimal,49.73857852134033,48.08475199581175,0,0.3095945283544063,0,2.6175644267202287,1096.8980000000001,948.2758574199393,997.1800000000001,0.5,52.34467455062214
