scheme,instance,method,alpha,status,objective,f_true,feasible,covered_at_xstar,slack,x0,x1,x2,x3,x4
unit,25,nominal,0.1,optimal,1235.8570749217163,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,26,cmicl,0.1,optimal,2002.4500358078637,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,26,nominal,0.1,optimal,1917.11322364933,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,27,cmicl,0.1,optimal,1892.3025469498257,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,27,nominal,0.1,optimal,1766.3819840319861,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,28,cmicl,0.1,optimal,2044.491035308873,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,28,nominal,0.1,optimal,1952.923328507891,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,29,cmicl,0.1,optimal,1723.649863269218,50.50005827331604,1,1,0.5000582733163341,923.0467632922112,1230.7290177229481,997.18,1.1849843612501387,11.849843612501388
unit,29,nominal,0.1,optimal,1675.888544829407,45.86636386646076,0,0,-0.6284582092811632,874.7516656512848,1166.3355542017132,997.18,1.0654520818344917,10.65452081834492
unit,30,cmicl,0.1,optimal,454.4447597439629,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,30,nominal,0.1,optimal,397.2659081980645,46.589322304731354,0,1,4.636252056467079,1482.9319999999998,746.0019043504138,1348.12,1.213508907273772,12.357766666666656
unit,31,cmicl,0.1,optimal,1832.1981270870806,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,31,nominal,0.1,optimal,1687.657628439237,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,32,cmicl,0.1,optimal,1340.8237383520031,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,32,nominal,0.1,optimal,1273.5102416264701,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,33,cmicl,0.1,optimal,1473.6409939121454,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,33,nominal,0.1,optimal,1429.5345977153465,45.20043216819367,0,0,-0.8437290439166887,1010.7107405452084,928.093896793476,997.18,1.0435331527914724,10.435331527914727
unit,34,cmicl,0.1,optimal,1687.503245331703,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,34,nominal,0.1,optimal,1533.7551878974425,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
