scheme,instance,method,alpha,status,objective,f_true,feasible,u_at_xstar,covered_at_xstar,slack,x0,x1,x2,x3,x4
paper,55,cmicl,0.1,optimal,75.7233936231208,52.85912855527521,1,1.0936311214334147,1,2.8591285552753902,1059.876248446741,1098.3849094594157,997.18,1.248704487254047,12.487044872540471
paper,55,nominal,0.1,optimal,68.356876454509,45.851522241665535,0,1.0037556475880365,1,1.2253114116897024,1026.562039463098,905.5071782511072,997.18,1.0642911221533202,10.642911221533204
paper,56,cmicl,0.1,optimal,55.1824443594593,53.318543285983516,1,1.2408055941736542,1,3.31854328598353,1096.8980000000001,1060.568575024269,997.18,1.2588362118441292,12.58836211844129
paper,56,nominal,0.1,optimal,50.4557834522403,46.3925661204605,0,0.7496566738034289,1,0.21588022101427384,1096.898,830.0501014510347,997.18,1.064929904894969,10.649299048949693
paper,57,cmicl,0.1,optimal,35.79289940779314,54.524987407199255,1,1.609329272246585,1,4.524987407199269,989.321619270027,1319.0954923600361,997.18,1.2429552618320452,12.429552618320452
paper,57,nominal,0.1,optimal,34.13463965006138,46.51022416952299,0,1.7062836792663907,1,3.943784601897221,876.1977151390577,1168.2636201854102,997.18,1.0877086996383778,10.877086996383781
paper,58,cmicl,0.1,optimal,-6.7910974504255694,56.86650673131122,1,1.321402563166295,1,6.866506731311247,1482.932,1500.0,1348.12,2.0,26.243387310480134
paper,58,nominal,0.1,optimal,-6.809797482279873,50.336908221370365,1,1.3099134222912525,1,5.883799360987815,1482.932,1500.0,1348.12,2.0,56.89412959915124
paper,59,cmicl,0.1,optimal,39.417816848944675,48.20103087035272,0,0.803890556163708,0,-1.7989691296472756,1088.6270756108142,1451.5027674810856,997.18,0.9647827062747277,10.0
paper,59,nominal,0.1,optimal,38.930160192821205,43.70736640446686,0,2.0456419559048955,1,4.344316563249869,923.7283266815527,1231.6377689087371,997.18,0.9560568590886998,10.0
paper,60,cmicl,0.1,optimal,38.701395446063714,54.524987407199234,1,1.6093292722465824,1,4.5249874071992195,989.3216192700272,1319.0954923600364,997.18,1.2429552618320436,12.429552618320436
paper,60,nominal,0.1,optimal,33.83375994766977,46.51022416952299,0,1.7062836792663907,1,3.943784601897221,876.1977151390577,1168.2636201854102,997.18,1.0877086996383778,10.877086996383781
paper,61,cmicl,0.1,optimal,57.2634311892629,51.0034642443781,1,0.9729724167701495,1,1.0034642443780726,1040.9307975900817,1245.6448277034035,997.18,0.5,52.04653987950409
paper,61,nominal,0.1,optimal,55.12693561128556,50.61788771207314,1,1.9684297074836863,1,7.699991615983635,939.25954854705,1252.3460647294,997.18,0.6235949621765752,46.9629774273525
paper,62,cmicl,0.1,optimal,16.054719526524938,50.04413995941412,1,0.7427034285867276,0,-1.4362155919164863,1096.8980000000001,1462.5306666666668,997.18,1.0,10.0
paper,62,nominal,0.1,optimal,16.0557254639472,52.8725237413166,1,0.7506040938220107,0,-0.027445217172328285,1096.8980000000001,1462.5306666666668,997.18,1.045543840683686,10.455438406836862
paper,63,cmicl,0.1,optimal,12.957854511617093,53.09823067160721,1,0.8618842327336793,1,3.0982306716072117,1346.4665421983868,1053.815472677468,1224.0604929076242,1.4465960137701923,14.465960137701924
paper,63,nominal,0.1,optimal,7.063216173706752,47.168500977243,0,0.2564925722126254,1,0.4397226920149251,1482.932,762.9979954463133,1348.12,1.2435744865332556,12.435744865332559
paper,64,cmicl,0.1,optimal,36.53374184383944,54.524987407199205,1,1.609329272246585,1,4.524987407199191,989.3216192700274,1319.0954923600366,997.18,1.2429552618320445,12.429552618320445
paper,64,nominal,0.1,optimal,35.99657016172658,46.51022416952297,0,1.7062836792663907,1,3.9437846018971925,876.1977151390577,1168.2636201854102,997.18,1.087708699638378,10.877086996383781
paper,65,cmicl,0.1,optimal,8.353602071477125,52.37232237115542,1,1.2168423362282983,1,2.372322371155427,1096.8980000000001,1462.5306666666668,997.18,2.0,47.10191425360693
paper,65,nominal,0.1,optimal,8.343065158321913,50.7136997421817,1,1.3027419985104167,1,2.5276474085623946,1096.8980000000001,1462.5306666666668,997.18,2.0,54.844899999999996
paper,66,cmicl,0.1,optimal,32.40633532379909,54.52498740719911,1,1.6093292722465904,1,4.524987407199177,989.3216192700261,1319.0954923600348,997.18,1.2429552618320427,12.429552618320427
paper,66,nominal,0.1,optimal,28.817230726545738,46.51022416952297,0,1.7062836792663907,1,3.9437846018971925,876.1977151390577,1168.2636201854102,997.18,1.087708699638378,10.877086996383781
paper,67,cmicl,0.1,optimal,62.24096998525176,52.8591285552751,1,1.0936311214334076,1,2.859128555275319,1059.876248446739,1098.3849094594157,997.18,1.248704487254046,12.487044872540462
paper,67,nominal,0.1,optimal,56.788380872191375,45.85152224166557,0,1.0037556475880365,1,1.225311411689738,1026.562039463098,905.5071782511071,997.18,1.0642911221533202,10.642911221533204
paper,68,cmicl,0.1,optimal,32.66459947325228,53.31854328598348,1,1.2408055941736595,1,3.3185432859835373,1096.8980000000001,1060.5685750242678,997.1800000000001,1.2588362118441287,12.588362118441285
paper,68,nominal,0.1,optimal,28.49285831066672,46.39256612046045,0,0.7496566738034254,1,0.21588022101423832,1096.8980000000001,830.0501014510344,997.18,1.0649299048949683,10.649299048949686
paper,69,cmicl,0.1,optimal,-0.48523581952111694,49.70026566463911,0,0.7397834677508328,0,-1.6479090162363335,1125.0,1500.0,1022.7272727272726,1.0,10.0
paper,69,nominal,0.1,optimal,-0.48523581952111694,49.70026566463911,0,0.7397834677508328,0,-1.6479090162363335,1125.0,1500.0,1022.7272727272726,1.0,10.0
paper,70,cmicl,0.1,optimal,38.9568612609173,54.5249874071992,1,1.6093292722465833,1,4.524987407199205,989.3216192700271,1319.0954923600361,997.18,1.242955261832042,12.429552618320422
paper,70,nominal,0.1,optimal,35.302729588191745,46.510224169523,0,1.7062836792663916,1,3.943784601897228,876.1977151390577,1168.2636201854102,997.18,1.0877086996383785,10.877086996383788
paper,71,cmicl,0.1,optimal,48.48763823285595,53.3185432859835,1,1.240805594173656,1,3.31854328598353,1096.8980000000001,1060.5685750242687,997.18,1.258836211844129,12.588362118441289
paper,71,nominal,0.1,optimal,44.534393349075835,46.39256612046049,0,0.7496566738034218,1,0.21588022101426674,1096.8980000000001,830.0501014510347,997.18,1.0649299048949685,10.649299048949686
paper,72,cmicl,0.1,optimal,33.92894444405031,54.23656654870511,1,1.5160472183482696,1,4.23656654870512,995.3211413394872,1291.099301402054,997.18,1.2426023090337284,12.426023090337283
paper,72,nominal,0.1,optimal,30.062706781481065,46.51022416952297,0,1.7062836792663907,1,3.9437846018971925,876.1977151390577,1168.2636201854102,997.18,1.087708699638378,10.877086996383781
paper,73,cmicl,0.1,optimal,1.2687013108913343,52.74853497837733,1,1.392549331199902,1,2.74853497837735,1482.932,1352.1040636997598,1348.12,0.5,74.1466
paper,73,nominal,0.1,optimal,-0.9237648544168091,48.20157124752019,0,1.2915650975632929,1,3.295947677918022,1482.932,1007.4678186064511,1348.12,0.5,70.20298974637616
paper,74,cmicl,0.1,optimal,-3.042794798336312,50.98292893318657,1,1.2633734444712292,1,0.9829289331865709,1482.932,1500.0,1348.12,0.5,59.29407888272245
paper,74,nominal,0.1,optimal,-3.2251045659349447,43.8819523498924,0,1.291828764750253,1,2.4274627246687004,1482.932,1500.0,1348.12,0.5,43.436065118993824
