outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible,realization,subsample_seed,rhs
Overall_Survival,all_constraints,10.999723829520057,1.8627890162073952,11.243957766067496,1.5030205972525563,2.2203642594369994,96,63,0.569662886361281,0.5127950475287033,cp,63,1,2042,0.5
all_constraints,all_constraints,0.49206349206349204,0.5039526306789697,0.8253968253968254,0.3826765896260495,67.74193548387096,96,63,0.569662886361281,0.5127950475287033,cp,63,1,2042,0.5
Any_DLT,dlt_only,0.6615384615384615,0.4768687934367756,0.9538461538461539,0.2114510308831302,44.186046511627914,96,65,0.027155160903930664,0.017146078066567722,nominal,96,2,3042,0.5
Blood,dlt_only,0.6461538461538462,0.4818833245315078,0.8461538461538461,0.36360904617671225,30.952380952380945,96,65,0.027155160903930664,0.017146078066567722,nominal,96,2,3042,0.5
Constitutional,dlt_only,0.7692307692307693,0.4246038878042234,0.9230769230769231,0.26854307776478736,20.0,96,65,0.027155160903930664,0.017146078066567722,nominal,96,2,3042,0.5
Infection,dlt_only,0.7384615384615385,0.4428925898610702,0.9692307692307692,0.1740358053345964,31.249999999999993,96,65,0.027155160903930664,0.017146078066567722,nominal,96,2,3042,0.5
Gastrointestinal,dlt_only,0.5692307692307692,0.49903753519997024,0.9846153846153847,0.12403473458920845,72.972972972973,96,65,0.027155160903930664,0.017146078066567722,nominal,96,2,3042,0.5
Overall_Survival,dlt_only,10.387783983188555,1.8356015368576892,10.587709285989279,1.0047305083100986,1.9246193714104938,96,65,0.027155160903930664,0.017146078066567722,nominal,96,2,3042,0.5
all_constraints,dlt_only,0.4461538461538462,0.5009606156790557,0.7846153846153846,0.4142880826002788,75.86206896551722,96,65,0.027155160903930664,0.017146078066567722,nominal,96,2,3042,0.5
Any_DLT,all_constraints,0.686046511627907,0.4668197260557302,0.9534883720930233,0.2118254966704237,38.983050847457626,96,86,0.09583009779453278,0.03396474438299893,nominal,89,2,3042,0.5
Blood,all_constraints,0.6511627906976745,0.47939770694352374,0.8023255813953488,0.40058097343617033,23.2142857142857,96,86,0.09583009779453278,0.03396474438299893,nominal,89,2,3042,0.5
Constitutional,all_constraints,0.7906976744186046,0.40919660368228417,0.9186046511627907,0.27504507776297615,16.176470588235297,96,86,0.09583009779453278,0.03396474438299893,nominal,89,2,3042,0.5
Infection,all_constraints,0.7558139534883721,0.4321232534311833,0.9883720930232558,0.10783277320343843,30.769230769230766,96,86,0.09583009779453278,0.03396474438299893,nominal,89,2,3042,0.5
Gastrointestinal,all_constraints,0.6395348837209303,0.48295148210035294,1.0,0.0,56.36363636363635,96,86,0.09583009779453278,0.03396474438299893,nominal,89,2,3042,0.5
Overall_Survival,all_constraints,10.764240462375628,1.8246905018924613,10.69656448030302,1.1044897164003136,-0.6287111692567278,96,86,0.09583009779453278,0.03396474438299893,nominal,89,2,3042,0.5
all_constraints,all_constraints,0.46511627906976744,0.5017070722245297,0.7209302325581395,0.4511726626756408,54.99999999999999,96,86,0.09583009779453278,0.03396474438299893,nominal,89,2,3042,0.5
Any_DLT,dlt_only,0.6615384615384615,0.4768687934367756,0.9692307692307692,0.1740358053345964,46.51162790697675,96,65,0.03464931001265844,0.019945095330957865,robust_reg,96,2,3042,0.5
Blood,dlt_only,0.6461538461538462,0.4818833245315078,1.0,0.0,54.76190476190475,96,65,0.03464931001265844,0.019945095330957865,robust_reg,96,2,3042,0.5
Constitutional,dlt_only,0.7692307692307693,0.4246038878042234,0.9230769230769231,0.26854307776478736,20.0,96,65,0.03464931001265844,0.019945095330957865,robust_reg,96,2,3042,0.5
Infection,dlt_only,0.7384615384615385,0.4428925898610702,1.0,0.0,35.41666666666666,96,65,0.03464931001265844,0.019945095330957865,robust_reg,96,2,3042,0.5
Gastrointestinal,dlt_only,0.5692307692307692,0.49903753519997024,0.9538461538461539,0.2114510308831302,67.56756756756758,96,65,0.03464931001265844,0.019945095330957865,robust_reg,96,2,3042,0.5
Overall_Survival,dlt_only,10.387783983188555,1.8356015368576892,10.69586003367921,1.0176670225619224,2.96575334055118,96,65,0.03464931001265844,0.019945095330957865,robust_reg,96,2,3042,0.5
all_constraints,dlt_only,0.4461538461538462,0.5009606156790557,0.9230769230769231,0.26854307776478736,106.89655172413792,96,65,0.03464931001265844,0.019945095330957865,robust_reg,96,2,3042,0.5
Any_DLT,all_constraints,0.686046511627907,0.4668197260557302,0.9534883720930233,0.2118254966704237,38.983050847457626,96,86,0.09423377364873886,0.029243120144676202,robust_reg,89,2,3042,0.5
Blood,all_constraints,0.6511627906976745,0.47939770694352374,0.8023255813953488,0.40058097343617033,23.2142857142857,96,86,0.09423377364873886,0.029243120144676202,robust_reg,89,2,3042,0.5
Constitutional,all_constraints,0.7906976744186046,0.40919660368228417,0.9186046511627907,0.27504507776297615,16.176470588235297,96,86,0.09423377364873886,0.029243120144676202,robust_reg,89,2,3042,0.5
Infection,all_constraints,0.7558139534883721,0.4321232534311833,0.9883720930232558,0.10783277320343843,30.769230769230766,96,86,0.09423377364873886,0.029243120144676202,robust_reg,89,2,3042,0.5
Gastrointestinal,all_constraints,0.6395348837209303,0.48295148210035294,1.0,0.0,56.36363636363635,96,86,0.09423377364873886,0.029243120144676202,robust_reg,89,2,3042,0.5
Overall_Survival,all_constraints,10.764240462375628,1.8246905018924613,10.69656448030302,1.1044897164003136,-0.6287111692567278,96,86,0.09423377364873886,0.029243120144676202,robust_reg,89,2,3042,0.5
all_constraints,all_constraints,0.46511627906976744,0.5017070722245297,0.7209302325581395,0.4511726626756408,54.99999999999999,96,86,0.09423377364873886,0.029243120144676202,robust_reg,89,2,3042,0.5
Any_DLT,dlt_only,0.6615384615384615,0.4768687934367756,0.9538461538461539,0.2114510308831302,44.186046511627914,96,65,0.09320337325334549,0.08590552711485779,cp,65,2,3042,0.5
Blood,dlt_only,0.6461538461538462,0.4818833245315078,0.7692307692307693,0.4246038878042234,19.047619047619047,96,65,0.09320337325334549,0.08590552711485779,cp,65,2,3042,0.5
Constitutional,dlt_only,0.7692307692307693,0.4246038878042234,0.9076923076923077,0.2917124506190194,17.999999999999993,96,65,0.09320337325334549,0.08590552711485779,cp,65,2,3042,0.5
Infection,dlt_only,0.7384615384615385,0.4428925898610702,0.9692307692307692,0.1740358053345964,31.249999999999993,96,65,0.09320337325334549,0.08590552711485779,cp,65,2,3042,0.5
Gastrointestinal,dlt_only,0.5692307692307692,0.49903753519997024,0.9384615384615385,0.2421855614066333,64.86486486486487,96,65,0.09320337325334549,0.08590552711485779,cp,65,2,3042,0.5
Overall_Survival,dlt_only,10.387783983188555,1.8356015368576892,10.537158410407118,1.170825509726894,1.4379816470992093,96,65,0.09320337325334549,0.08590552711485779,cp,65,2,3042,0.5
all_constraints,dlt_only,0.4461538461538462,0.5009606156790557,0.676923076923077,0.4712911887733364,51.72413793103448,96,65,0.09320337325334549,0.08590552711485779,cp,65,2,3042,0.5
Any_DLT,all_constraints,0.686046511627907,0.4668197260557302,0.9534883720930233,0.2118254966704237,38.983050847457626,96,86,0.1098634476463,0.05582667868077626,cp,88,2,3042,0.5
Blood,all_constraints,0.6511627906976745,0.47939770694352374,0.7790697674418605,0.4173068497400268,19.642857142857142,96,86,0.1098634476463,0.05582667868077626,cp,88,2,3042,0.5
Constitutional,all_constraints,0.7906976744186046,0.40919660368228417,0.9069767441860465,0.29216864496359496,14.705882352941176,96,86,0.1098634476463,0.05582667868077626,cp,88,2,3042,0.5
Infection,all_constraints,0.7558139534883721,0.4321232534311833,0.9883720930232558,0.10783277320343843,30.769230769230766,96,86,0.1098634476463,0.05582667868077626,cp,88,2,3042,0.5
