outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible
Any_DLT,dlt_only,0.8526315789473684,0.3563533105934119,1.0,0.0,17.283950617283953,96,95,0.017013246814409893,0.0029378048955372303,robust_reg,96
Blood,dlt_only,0.8736842105263158,0.33396729560733096,1.0,0.0,14.457831325301198,96,95,0.017013246814409893,0.0029378048955372303,robust_reg,96
Constitutional,dlt_only,0.8736842105263158,0.333967295607331,0.9263157894736842,0.2626422720087394,6.024096385542162,96,95,0.017013246814409893,0.0029378048955372303,robust_reg,96
Infection,dlt_only,0.8736842105263158,0.333967295607331,1.0,0.0,14.457831325301198,96,95,0.017013246814409893,0.0029378048955372303,robust_reg,96
Gastrointestinal,dlt_only,0.8421052631578947,0.3665767306309684,1.0,0.0,18.750000000000007,96,95,0.017013246814409893,0.0029378048955372303,robust_reg,96
Overall_Survival,dlt_only,10.611419673838613,1.6297970618869357,8.146327728701747,0.9788374037991044,-23.23055746456152,96,95,0.017013246814409893,0.0029378048955372303,robust_reg,96
all_constraints,dlt_only,0.6947368421052632,0.46296188461572396,0.9263157894736842,0.2626422720087394,33.33333333333332,96,95,0.017013246814409893,0.0029378048955372303,robust_reg,96
Any_DLT,all_constraints,0.8526315789473684,0.35635331059341196,1.0,0.0,17.283950617283953,96,95,4.557136192917824,4.309143053480019,wrapper,96
Blood,all_constraints,0.8842105263157894,0.3216697756533383,0.9052631578947369,0.2944047080786205,2.3809523809523885,96,95,4.557136192917824,4.309143053480019,wrapper,96
Constitutional,all_constraints,0.8631578947368421,0.3455038354865923,0.968421052631579,0.17580402404729137,12.19512195121951,96,95,4.557136192917824,4.309143053480019,wrapper,96
Infection,all_constraints,0.8631578947368421,0.34550383548659225,0.9263157894736842,0.2626422720087394,7.317073170731704,96,95,4.557136192917824,4.309143053480019,wrapper,96
Gastrointestinal,all_constraints,0.8421052631578947,0.3665767306309684,1.0,0.0,18.750000000000007,96,95,4.557136192917824,4.309143053480019,wrapper,96
Overall_Survival,all_constraints,10.614740841628471,1.628003979460246,11.651110748583836,1.0038824083230142,9.763497031326192,96,95,4.557136192917824,4.309143053480019,wrapper,96
all_constraints,all_constraints,0.6947368421052632,0.46296188461572396,0.8631578947368421,0.34550383548659225,24.242424242424235,96,95,4.557136192917824,4.309143053480019,wrapper,96
Any_DLT,dlt_only,0.8526315789473684,0.3563533105934119,1.0,0.0,17.283950617283953,96,95,0.3363386193911235,0.1213835907324613,wrapper,95
Blood,dlt_only,0.8736842105263158,0.33396729560733096,0.9052631578947369,0.2944047080786205,3.6144578313252995,96,95,0.3363386193911235,0.1213835907324613,wrapper,95
Constitutional,dlt_only,0.8736842105263158,0.333967295607331,0.9368421052631579,0.2445371796902055,7.228915662650599,96,95,0.3363386193911235,0.1213835907324613,wrapper,95
Infection,dlt_only,0.8736842105263158,0.333967295607331,0.9473684210526315,0.22448148540588728,8.433734939759024,96,95,0.3363386193911235,0.1213835907324613,wrapper,95
Gastrointestinal,dlt_only,0.8421052631578947,0.3665767306309684,1.0,0.0,18.750000000000007,96,95,0.3363386193911235,0.1213835907324613,wrapper,95
Overall_Survival,dlt_only,10.611419673838613,1.6297970618869357,11.643602232947213,1.0743877985654327,9.72709204644259,96,95,0.3363386193911235,0.1213835907324613,wrapper,95
all_constraints,dlt_only,0.6947368421052632,0.46296188461572396,0.8421052631578947,0.3665767306309684,21.212121212121197,96,95,0.3363386193911235,0.1213835907324613,wrapper,95
