outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible,realization,subsample_seed,rhs,frac,strength
all_constraints,all_constraints,0.11538461538461539,0.32581259360842113,0.6538461538461539,0.4851645240375839,466.66666666666663,96,26,0.07466211169958115,0.030348774256717188,cp,34,1,2042,0.4,0.5,calibrated
Any_DLT,dlt_only,0.4246575342465753,0.49771165847021204,0.1506849315068493,0.360217252220885,-64.51612903225806,96,73,0.03741508722305298,0.03784322508398115,nominal,81,2,3042,0.4,0.5,calibrated
Blood,dlt_only,0.3150684931506849,0.4677580193732393,0.1232876712328767,0.3310423554409471,-60.869565217391305,96,73,0.03741508722305298,0.03784322508398115,nominal,81,2,3042,0.4,0.5,calibrated
Constitutional,dlt_only,0.3972602739726027,0.49271712719135474,0.4246575342465753,0.49771165847021204,6.896551724137931,96,73,0.03741508722305298,0.03784322508398115,nominal,81,2,3042,0.4,0.5,calibrated
Infection,dlt_only,0.1780821917808219,0.3852295763360054,0.2465753424657534,0.4340001893819421,38.46153846153846,96,73,0.03741508722305298,0.03784322508398115,nominal,81,2,3042,0.4,0.5,calibrated
Gastrointestinal,dlt_only,0.3150684931506849,0.4677580193732393,0.6164383561643836,0.4896182465934662,95.6521739130435,96,73,0.03741508722305298,0.03784322508398115,nominal,81,2,3042,0.4,0.5,calibrated
Overall_Survival,dlt_only,10.407282197626328,1.6116200522896562,10.37039138967187,0.9877365956519524,-0.35447110257923553,96,73,0.03741508722305298,0.03784322508398115,nominal,81,2,3042,0.4,0.5,calibrated
all_constraints,dlt_only,0.1095890410958904,0.31453863195058485,0.0,0.0,-100.0,96,73,0.03741508722305298,0.03784322508398115,nominal,81,2,3042,0.4,0.5,calibrated
Any_DLT,all_constraints,0.75,0.4423258684646914,0.625,0.49453535504684026,-16.666666666666668,96,24,0.06791677822669347,0.03740861081147729,nominal,28,2,3042,0.4,0.5,calibrated
Blood,all_constraints,0.625,0.49453535504684026,0.4166666666666667,0.5036101551853348,-33.33333333333333,96,24,0.06791677822669347,0.03740861081147729,nominal,28,2,3042,0.4,0.5,calibrated
Constitutional,all_constraints,0.6666666666666666,0.48154341234307685,0.5833333333333334,0.5036101551853349,-12.499999999999988,96,24,0.06791677822669347,0.03740861081147729,nominal,28,2,3042,0.4,0.5,calibrated
Infection,all_constraints,0.4583333333333333,0.5089773777040516,0.625,0.49453535504684026,36.36363636363637,96,24,0.06791677822669347,0.03740861081147729,nominal,28,2,3042,0.4,0.5,calibrated
Gastrointestinal,all_constraints,0.7083333333333334,0.4643056214875365,1.0,0.0,41.17647058823529,96,24,0.06791677822669347,0.03740861081147729,nominal,28,2,3042,0.4,0.5,calibrated
Overall_Survival,all_constraints,10.056433851852304,1.6803945111887901,10.205010108133829,1.1909606873530467,1.4774248851063427,96,24,0.06791677822669347,0.03740861081147729,nominal,28,2,3042,0.4,0.5,calibrated
all_constraints,all_constraints,0.3333333333333333,0.48154341234307685,0.25,0.4423258684646914,-24.999999999999996,96,24,0.06791677822669347,0.03740861081147729,nominal,28,2,3042,0.4,0.5,calibrated
Any_DLT,dlt_only,0.4246575342465753,0.49771165847021204,0.4931506849315068,0.5034130089044646,16.129032258064516,96,73,0.03819037228822708,0.04041377773016,robust_reg,73,2,3042,0.4,0.5,calibrated
Blood,dlt_only,0.3150684931506849,0.4677580193732393,0.3972602739726027,0.49271712719135474,26.08695652173913,96,73,0.03819037228822708,0.04041377773016,robust_reg,73,2,3042,0.4,0.5,calibrated
Constitutional,dlt_only,0.3972602739726027,0.49271712719135474,0.4657534246575342,0.5022779161209768,17.24137931034483,96,73,0.03819037228822708,0.04041377773016,robust_reg,73,2,3042,0.4,0.5,calibrated
Infection,dlt_only,0.1780821917808219,0.3852295763360054,0.3698630136986301,0.4861083931213426,107.6923076923077,96,73,0.03819037228822708,0.04041377773016,robust_reg,73,2,3042,0.4,0.5,calibrated
Gastrointestinal,dlt_only,0.3150684931506849,0.4677580193732393,0.3698630136986301,0.4861083931213426,17.391304347826086,96,73,0.03819037228822708,0.04041377773016,robust_reg,73,2,3042,0.4,0.5,calibrated
Overall_Survival,dlt_only,10.407282197626328,1.6116200522896562,10.735634016011906,1.1772044935835677,3.1550198423606446,96,73,0.03819037228822708,0.04041377773016,robust_reg,73,2,3042,0.4,0.5,calibrated
all_constraints,dlt_only,0.1095890410958904,0.31453863195058485,0.0684931506849315,0.25433830943623054,-37.5,96,73,0.03819037228822708,0.04041377773016,robust_reg,73,2,3042,0.4,0.5,calibrated
Any_DLT,all_constraints,0.75,0.4423258684646914,0.6666666666666666,0.48154341234307685,-11.111111111111116,96,24,0.06799209366242091,0.05160565723675109,robust_reg,28,2,3042,0.4,0.5,calibrated
Blood,all_constraints,0.625,0.49453535504684026,0.4583333333333333,0.5089773777040516,-26.666666666666668,96,24,0.06799209366242091,0.05160565723675109,robust_reg,28,2,3042,0.4,0.5,calibrated
Constitutional,all_constraints,0.6666666666666666,0.48154341234307685,0.5416666666666666,0.5089773777040516,-18.75,96,24,0.06799209366242091,0.05160565723675109,robust_reg,28,2,3042,0.4,0.5,calibrated
Infection,all_constraints,0.4583333333333333,0.5089773777040516,0.6666666666666666,0.48154341234307685,45.45454545454545,96,24,0.06799209366242091,0.05160565723675109,robust_reg,28,2,3042,0.4,0.5,calibrated
Gastrointestinal,all_constraints,0.7083333333333334,0.4643056214875365,0.9583333333333334,0.2041241452319315,35.29411764705882,96,24,0.06799209366242091,0.05160565723675109,robust_reg,28,2,3042,0.4,0.5,calibrated
Overall_Survival,all_constraints,10.056433851852304,1.6803945111887901,10.145120369393311,1.2353169112610987,0.8818883398181084,96,24,0.06799209366242091,0.05160565723675109,robust_reg,28,2,3042,0.4,0.5,calibrated
all_constraints,all_constraints,0.3333333333333333,0.48154341234307685,0.25,0.4423258684646914,-24.999999999999996,96,24,0.06799209366242091,0.05160565723675109,robust_reg,28,2,3042,0.4,0.5,calibrated
Any_DLT,dlt_only,0.4246575342465753,0.49771165847021204,0.1506849315068493,0.360217252220885,-64.51612903225806,96,73,0.03313967088858286,0.032351570441656395,cp,81,2,3042,0.4,0.5,calibrated
Blood,dlt_only,0.3150684931506849,0.4677580193732393,0.1232876712328767,0.3310423554409471,-60.869565217391305,96,73,0.03313967088858286,0.032351570441656395,cp,81,2,3042,0.4,0.5,calibrated
Constitutional,dlt_only,0.3972602739726027,0.49271712719135474,0.4520547945205479,0.5011402523360258,13.793103448275861,96,73,0.03313967088858286,0.032351570441656395,cp,81,2,3042,0.4,0.5,calibrated
Infection,dlt_only,0.1780821917808219,0.3852295763360054,0.2465753424657534,0.4340001893819421,38.46153846153846,96,73,0.03313967088858286,0.032351570441656395,cp,81,2,3042,0.4,0.5,calibrated
Gastrointestinal,dlt_only,0.3150684931506849,0.4677580193732393,0.6164383561643836,0.4896182465934662,95.6521739130435,96,73,0.03313967088858286,0.032351570441656395,cp,81,2,3042,0.4,0.5,calibrated
Overall_Survival,dlt_only,10.407282197626328,1.6116200522896562,10.383088149852165,0.9832499999587277,-0.23247229502127872,96,73,0.03313967088858286,0.032351570441656395,cp,81,2,3042,0.4,0.5,calibrated
all_constraints,dlt_only,0.1095890410958904,0.31453863195058485,0.0,0.0,-100.0,96,73,0.03313967088858286,0.032351570441656395,cp,81,2,3042,0.4,0.5,calibrated
Any_DLT,all_constraints,0.75,0.4423258684646914,0.25,0.4423258684646914,-66.66666666666667,96,24,0.047525698939959206,0.02583673728071157,cp,64,2,3042,0.4,0.5,calibrated
Blood,all_constraints,0.625,0.49453535504684026,0.125,0.3378319623460881,-80.0,96,24,0.047525698939959206,0.02583673728071157,cp,64,2,3042,0.4,0.5,calibrated
Constitutional,all_constraints,0.6666666666666666,0.48154341234307685,0.20833333333333334,0.4148511169990534,-68.75,96,24,0.047525698939959206,0.02583673728071157,cp,64,2,3042,0.4,0.5,calibrated
Infection,all_constraints,0.4583333333333333,0.5089773777040516,0.4583333333333333,0.5089773777040516,0.0,96,24,0.047525698939959206,0.02583673728071157,cp,64,2,3042,0.4,0.5,calibrated
Gastrointestinal,all_constraints,0.7083333333333334,0.4643056214875365,0.3333333333333333,0.48154341234307685,-52.94117647058824,96,24,0.047525698939959206,0.02583673728071157,cp,64,2,3042,0.4,0.5,calibrated
Overall_Survival,all_constraints,10.056433851852304,1.6803945111887901,10.292901455792082,1.2145280763370927,2.3514061487733278,96,24,0.047525698939959206,0.02583673728071157,cp,64,2,3042,0.4,0.5,calibrated
all_constraints,all_constraints,0.3333333333333333,0.48154341234307685,0.0,0.0,-99.99999999999999,96,24,0.047525698939959206,0.02583673728071157,cp,64,2,3042,0.4,0.5,calibrated
Any_DLT,dlt_only,0.367816091954023,0.48500641397666405,0.8620689655172413,0.3468266034531822,134.37499999999997,96,87,0.025163322687149048,0.04125339329202073,nominal,93,3,4042,0.4,0.5,calibrated
Blood,dlt_only,0.28735632183908044,0.455152567751188,0.632183908045977,0.48500641397666394,120.00000000000001,96,87,0.025163322687149048,0.04125339329202073,nominal,93,3,4042,0.4,0.5,calibrated
Constitutional,dlt_only,0.40229885057471265,0.4932042860614262,0.4482758620689655,0.5002004409781858,11.428571428571427,96,87,0.025163322687149048,0.04125339329202073,nominal,93,3,4042,0.4,0.5,calibrated
Infection,dlt_only,0.14942528735632185,0.3585739076677092,0.3793103448275862,0.48802829002885106,153.8461538461538,96,87,0.025163322687149048,0.04125339329202073,nominal,93,3,4042,0.4,0.5,calibrated
Gastrointestinal,dlt_only,0.28735632183908044,0.455152567751188,0.3333333333333333,0.4741373235154427,16.0,96,87,0.025163322687149048,0.04125339329202073,nominal,93,3,4042,0.4,0.5,calibrated
Overall_Survival,dlt_only,10.679729259208258,1.7577694471266634,11.7542066730131,1.2985729331478966,10.060904988564264,96,87,0.025163322687149048,0.04125339329202073,nominal,93,3,4042,0.4,0.5,calibrated
all_constraints,dlt_only,0.09195402298850575,0.2906361870283388,0.09195402298850575,0.2906361870283388,0.0,96,87,0.025163322687149048,0.04125339329202073,nominal,93,3,4042,0.4,0.5,calibrated
