outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible,realization,subsample_seed,rhs
Infection,dlt_only,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.16082293540239334,0.13447064381476098,cp,96,1,2042,0.6
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.16082293540239334,0.13447064381476098,cp,96,1,2042,0.6
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.802472692118968,1.1938678931782036,10.400499284628898,96,96,0.16082293540239334,0.13447064381476098,cp,96,1,2042,0.6
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.96875,0.17490598978639324,38.80597014925374,96,96,0.16082293540239334,0.13447064381476098,cp,96,1,2042,0.6
Any_DLT,all_constraints,0.8941176470588236,0.30951303579612127,1.0,0.0,11.84210526315789,96,85,1.3456670567393303,1.0064414810640887,cp,85,1,2042,0.6
Blood,all_constraints,0.8823529411764706,0.32410186177608213,0.9764705882352941,0.15247721049352903,10.666666666666668,96,85,1.3456670567393303,1.0064414810640887,cp,85,1,2042,0.6
Constitutional,all_constraints,0.9176470588235294,0.27653315937748607,0.9882352941176471,0.10846522890932811,7.692307692307702,96,85,1.3456670567393303,1.0064414810640887,cp,85,1,2042,0.6
Infection,all_constraints,0.9176470588235294,0.27653315937748607,0.9764705882352941,0.15247721049352903,6.410256410256412,96,85,1.3456670567393303,1.0064414810640887,cp,85,1,2042,0.6
Gastrointestinal,all_constraints,0.8941176470588236,0.30951303579612127,1.0,0.0,11.84210526315789,96,85,1.3456670567393303,1.0064414810640887,cp,85,1,2042,0.6
Overall_Survival,all_constraints,10.7759955568623,1.811198604061314,11.026595651409016,1.6359277111357196,2.3255400693547075,96,85,1.3456670567393303,1.0064414810640887,cp,85,1,2042,0.6
all_constraints,all_constraints,0.7647058823529411,0.4266999286754718,0.9647058823529412,0.18561729852738681,26.153846153846164,96,85,1.3456670567393303,1.0064414810640887,cp,85,1,2042,0.6
Any_DLT,dlt_only,0.8526315789473684,0.35635331059341196,1.0,0.0,17.283950617283953,96,95,0.13929957648118338,0.09255224549417744,cp,95,2,3042,0.6
Blood,dlt_only,0.8842105263157894,0.3216697756533383,1.0,0.0,13.095238095238098,96,95,0.13929957648118338,0.09255224549417744,cp,95,2,3042,0.6
Constitutional,dlt_only,0.8631578947368421,0.34550383548659225,0.9578947368421052,0.20189472049435528,10.975609756097557,96,95,0.13929957648118338,0.09255224549417744,cp,95,2,3042,0.6
Infection,dlt_only,0.8631578947368421,0.34550383548659225,1.0,0.0,15.853658536585364,96,95,0.13929957648118338,0.09255224549417744,cp,95,2,3042,0.6
Gastrointestinal,dlt_only,0.8631578947368421,0.34550383548659225,1.0,0.0,15.853658536585364,96,95,0.13929957648118338,0.09255224549417744,cp,95,2,3042,0.6
Overall_Survival,dlt_only,10.690800269590603,1.7888646346012345,10.944298329308133,1.0070657130306133,2.371179456402254,96,95,0.13929957648118338,0.09255224549417744,cp,95,2,3042,0.6
all_constraints,dlt_only,0.7052631578947368,0.4583430892442981,0.9578947368421052,0.20189472049435528,35.820895522388064,96,95,0.13929957648118338,0.09255224549417744,cp,95,2,3042,0.6
Any_DLT,all_constraints,0.875,0.3326141667278259,1.0,0.0,14.285714285714286,96,88,0.7032694493730863,0.47746755088298537,cp,88,2,3042,0.6
Blood,all_constraints,0.8863636363636364,0.31918784084445745,1.0,0.0,12.820512820512823,96,88,0.7032694493730863,0.47746755088298537,cp,88,2,3042,0.6
Constitutional,all_constraints,0.875,0.3326141667278259,0.9659090909090909,0.18250263020391777,10.389610389610393,96,88,0.7032694493730863,0.47746755088298537,cp,88,2,3042,0.6
Infection,all_constraints,0.8977272727272727,0.30474306974563625,1.0,0.0,11.392405063291143,96,88,0.7032694493730863,0.47746755088298537,cp,88,2,3042,0.6
Gastrointestinal,all_constraints,0.8636363636363636,0.3451409234693729,1.0,0.0,15.789473684210524,96,88,0.7032694493730863,0.47746755088298537,cp,88,2,3042,0.6
Overall_Survival,all_constraints,10.678693348755354,1.8469180232281361,10.735529832078225,1.409274249874486,0.5322419276090067,96,88,0.7032694493730863,0.47746755088298537,cp,88,2,3042,0.6
all_constraints,all_constraints,0.7272727272727273,0.4479140087646834,0.9659090909090909,0.18250263020391777,32.8125,96,88,0.7032694493730863,0.47746755088298537,cp,88,2,3042,0.6
Any_DLT,dlt_only,0.8602150537634409,0.3486432663371334,0.956989247311828,0.20398095044388956,11.250000000000002,96,93,0.18378498901923498,0.17009456323013608,cp,93,3,4042,0.6
Blood,dlt_only,0.8817204301075269,0.32468922819237606,0.8279569892473119,0.3794634631543566,-6.097560975609751,96,93,0.18378498901923498,0.17009456323013608,cp,93,3,4042,0.6
Constitutional,dlt_only,0.8817204301075269,0.324689228192376,0.956989247311828,0.20398095044388956,8.536585365853663,96,93,0.18378498901923498,0.17009456323013608,cp,93,3,4042,0.6
Infection,dlt_only,0.8817204301075269,0.324689228192376,0.946236559139785,0.22677279367959727,7.317073170731713,96,93,0.18378498901923498,0.17009456323013608,cp,93,3,4042,0.6
Gastrointestinal,dlt_only,0.8602150537634409,0.34864326633713344,1.0,0.0,16.249999999999996,96,93,0.18378498901923498,0.17009456323013608,cp,93,3,4042,0.6
Overall_Survival,dlt_only,10.694915461807073,1.8036660376760383,11.88095401640536,1.3472971806630119,11.089742212865398,96,93,0.18378498901923498,0.17009456323013608,cp,93,3,4042,0.6
all_constraints,dlt_only,0.7204301075268817,0.4512203596877334,0.7634408602150538,0.4272726820591678,5.970149253731337,96,93,0.18378498901923498,0.17009456323013608,cp,93,3,4042,0.6
Any_DLT,all_constraints,0.8526315789473684,0.35635331059341196,1.0,0.0,17.283950617283953,96,95,0.12322390824556351,0.10842726082128051,cp,95,3,4042,0.6
Blood,all_constraints,0.8736842105263158,0.33396729560733096,0.6947368421052632,0.4629618846157239,-20.481927710843372,96,95,0.12322390824556351,0.10842726082128051,cp,95,3,4042,0.6
Constitutional,all_constraints,0.8631578947368421,0.34550383548659225,0.968421052631579,0.1758040240472914,12.19512195121951,96,95,0.12322390824556351,0.10842726082128051,cp,95,3,4042,0.6
Infection,all_constraints,0.8631578947368421,0.34550383548659225,0.9578947368421052,0.20189472049435525,10.975609756097557,96,95,0.12322390824556351,0.10842726082128051,cp,95,3,4042,0.6
Gastrointestinal,all_constraints,0.8631578947368421,0.34550383548659225,0.9894736842105263,0.10259783520851541,14.634146341463408,96,95,0.12322390824556351,0.10842726082128051,cp,95,3,4042,0.6
Overall_Survival,all_constraints,10.692540032347143,1.7887633906221623,12.05403245683978,1.4715915031099918,12.733105701487588,96,95,0.12322390824556351,0.10842726082128051,cp,95,3,4042,0.6
all_constraints,all_constraints,0.6947368421052632,0.46296188461572396,0.6421052631578947,0.4819241017687551,-7.575757575757583,96,95,0.12322390824556351,0.10842726082128051,cp,95,3,4042,0.6
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.016086076696713764,0.022635069101995264,cp,96,4,5042,0.6
Blood,dlt_only,0.875,0.33245498310218435,1.0,0.0,14.285714285714286,96,96,0.016086076696713764,0.022635069101995264,cp,96,4,5042,0.6
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9166666666666666,0.27783625115549687,6.02409638554216,96,96,0.016086076696713764,0.022635069101995264,cp,96,4,5042,0.6
Infection,dlt_only,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.016086076696713764,0.022635069101995264,cp,96,4,5042,0.6
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.016086076696713764,0.022635069101995264,cp,96,4,5042,0.6
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,10.991495814130841,1.0167800073389321,2.8146099058749527,96,96,0.016086076696713764,0.022635069101995264,cp,96,4,5042,0.6
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.9166666666666666,0.27783625115549687,31.343283582089555,96,96,0.016086076696713764,0.022635069101995264,cp,96,4,5042,0.6
Any_DLT,all_constraints,0.8764044943820225,0.3309842319473132,1.0,0.0,14.102564102564099,96,89,0.979885458946228,0.5741447555479605,cp,89,4,5042,0.6
Blood,all_constraints,0.8651685393258427,0.34347857005916343,1.0,0.0,15.584415584415584,96,89,0.979885458946228,0.5741447555479605,cp,89,4,5042,0.6
Constitutional,all_constraints,0.9101123595505618,0.28764124744526687,0.9775280898876404,0.14905216367918436,7.407407407407401,96,89,0.979885458946228,0.5741447555479605,cp,89,4,5042,0.6
Infection,all_constraints,0.898876404494382,0.3032004969797108,1.0,0.0,11.250000000000004,96,89,0.979885458946228,0.5741447555479605,cp,89,4,5042,0.6
Gastrointestinal,all_constraints,0.8876404494382022,0.3175975958515819,1.0,0.0,12.658227848101271,96,89,0.979885458946228,0.5741447555479605,cp,89,4,5042,0.6
Overall_Survival,all_constraints,10.708622618768059,1.8333950534516283,10.525637903793102,1.0111513264230538,-1.7087605146739941,96,89,0.979885458946228,0.5741447555479605,cp,89,4,5042,0.6
all_constraints,all_constraints,0.7415730337078652,0.44025018423517004,0.9775280898876404,0.14905216367918436,31.818181818181806,96,89,0.979885458946228,0.5741447555479605,cp,89,4,5042,0.6
Any_DLT,dlt_only,0.8541666666666666,0.35479176002615415,1.0,0.0,17.07317073170732,96,96,0.009247014919916788,0.0005172994626080748,cp,96,5,6042,0.6
Blood,dlt_only,0.875,0.33245498310218435,1.0,0.0,14.285714285714286,96,96,0.009247014919916788,0.0005172994626080748,cp,96,5,6042,0.6
Constitutional,dlt_only,0.8645833333333334,0.34396424742808945,0.9583333333333334,0.20087527770480487,10.843373493975903,96,96,0.009247014919916788,0.0005172994626080748,cp,96,5,6042,0.6
Infection,dlt_only,0.8645833333333334,0.34396424742808945,1.0,0.0,15.662650602409633,96,96,0.009247014919916788,0.0005172994626080748,cp,96,5,6042,0.6
Gastrointestinal,dlt_only,0.8645833333333334,0.3439642474280894,1.0,0.0,15.662650602409633,96,96,0.009247014919916788,0.0005172994626080748,cp,96,5,6042,0.6
Overall_Survival,dlt_only,10.690597206168823,1.779425762099106,11.973910023279847,0.9692423051168372,12.004126545620027,96,96,0.009247014919916788,0.0005172994626080748,cp,96,5,6042,0.6
all_constraints,dlt_only,0.6979166666666666,0.4615714956689105,0.9583333333333334,0.20087527770480487,37.31343283582091,96,96,0.009247014919916788,0.0005172994626080748,cp,96,5,6042,0.6
Any_DLT,all_constraints,0.8602150537634409,0.3486432663371334,0.989247311827957,0.10369516947304254,14.999999999999998,96,93,0.43467390288909274,0.3496010398524803,cp,93,5,6042,0.6
Blood,all_constraints,0.8817204301075269,0.32468922819237606,0.978494623655914,0.1458479422322764,10.975609756097564,96,93,0.43467390288909274,0.3496010398524803,cp,93,5,6042,0.6
Constitutional,all_constraints,0.8602150537634409,0.34864326633713344,0.989247311827957,0.10369516947304255,14.999999999999998,96,93,0.43467390288909274,0.3496010398524803,cp,93,5,6042,0.6
Infection,all_constraints,0.8709677419354839,0.33705264882291225,0.978494623655914,0.14584794223227637,12.34567901234568,96,93,0.43467390288909274,0.3496010398524803,cp,93,5,6042,0.6
Gastrointestinal,all_constraints,0.8602150537634409,0.3486432663371334,1.0,0.0,16.249999999999996,96,93,0.43467390288909274,0.3496010398524803,cp,93,5,6042,0.6
Overall_Survival,all_constraints,10.694462856256617,1.8035207009347092,10.834852455926443,1.1965120325336087,1.3127316589602542,96,93,0.43467390288909274,0.3496010398524803,cp,93,5,6042,0.6
all_constraints,all_constraints,0.6989247311827957,0.46121168950265595,0.946236559139785,0.22677279367959727,35.38461538461538,96,93,0.43467390288909274,0.3496010398524803,cp,93,5,6042,0.6
Any_DLT,dlt_only,0.8526315789473684,0.3563533105934119,0.9894736842105263,0.10259783520851543,16.04938271604938,96,95,0.1279031882683436,0.07855756558098415,cp,95,6,7042,0.6
Blood,dlt_only,0.8736842105263158,0.33396729560733096,0.9263157894736842,0.2626422720087394,6.024096385542162,96,95,0.1279031882683436,0.07855756558098415,cp,95,6,7042,0.6
Constitutional,dlt_only,0.8736842105263158,0.333967295607331,0.9789473684210527,0.1443214031708876,12.048192771084336,96,95,0.1279031882683436,0.07855756558098415,cp,95,6,7042,0.6
Infection,dlt_only,0.8736842105263158,0.333967295607331,0.9894736842105263,0.10259783520851541,13.25301204819276,96,95,0.1279031882683436,0.07855756558098415,cp,95,6,7042,0.6
Gastrointestinal,dlt_only,0.8631578947368421,0.34550383548659225,1.0,0.0,15.853658536585364,96,95,0.1279031882683436,0.07855756558098415,cp,95,6,7042,0.6
Overall_Survival,dlt_only,10.6999871958255,1.7864730982355768,10.664014210023009,1.2957123334402225,-0.33619653130543775,96,95,0.1279031882683436,0.07855756558098415,cp,95,6,7042,0.6
all_constraints,dlt_only,0.7052631578947368,0.4583430892442982,0.9052631578947369,0.2944047080786205,28.35820895522389,96,95,0.1279031882683436,0.07855756558098415,cp,95,6,7042,0.6
Any_DLT,all_constraints,0.896551724137931,0.3063089623779221,1.0,0.0,11.538461538461537,96,87,0.4014148513476054,0.43064842351079824,cp,87,6,7042,0.6
Blood,all_constraints,0.8850574712643678,0.3208015889133736,1.0,0.0,12.987012987012983,96,87,0.4014148513476054,0.43064842351079824,cp,87,6,7042,0.6
Constitutional,all_constraints,0.9195402298850575,0.2735805142573971,1.0,0.0,8.750000000000002,96,87,0.4014148513476054,0.43064842351079824,cp,87,6,7042,0.6
Infection,all_constraints,0.9195402298850575,0.2735805142573971,1.0,0.0,8.750000000000002,96,87,0.4014148513476054,0.43064842351079824,cp,87,6,7042,0.6
Gastrointestinal,all_constraints,0.896551724137931,0.3063089623779221,1.0,0.0,11.538461538461537,96,87,0.4014148513476054,0.43064842351079824,cp,87,6,7042,0.6
Overall_Survival,all_constraints,10.815051588335463,1.754908594642335,10.50991034404105,0.9100924041724336,-2.821449734215989,96,87,0.4014148513476054,0.43064842351079824,cp,87,6,7042,0.6
all_constraints,all_constraints,0.7586206896551724,0.43040049606014763,1.0,0.0,31.818181818181824,96,87,0.4014148513476054,0.43064842351079824,cp,87,6,7042,0.6
Any_DLT,dlt_only,0.8709677419354839,0.3370526488229122,1.0,0.0,14.814814814814813,96,93,0.1058326984445254,0.1319406585683563,cp,93,7,8042,0.6
Blood,dlt_only,0.8709677419354839,0.3370526488229122,1.0,0.0,14.814814814814813,96,93,0.1058326984445254,0.1319406585683563,cp,93,7,8042,0.6
