method,constraint_mode,outcome,rhs,strength,prescribed_mean,prescribed_sd,worst_case,low_quantile,given_mean,n_realizations
robust_reg,dlt_only,Constitutional,0.6,0.75,0.9568166542509422,0.024992953505197354,0.9042553191489362,0.9310848725742343,0.8808517908425643,10.0
robust_reg,dlt_only,Infection,0.6,0.75,0.9510220961833866,0.10420799026746713,0.7252747252747253,0.7789790854306983,0.8786714398776094,10.0
robust_reg,dlt_only,Gastrointestinal,0.6,0.75,0.9956043956043956,0.013900121583157697,0.9560439560439561,0.9956043956043956,0.8721491870019203,10.0
robust_reg,dlt_only,Overall_Survival,0.6,0.75,11.823619022786488,0.48170163469991334,10.951568725840671,10.976419516853616,10.708289431709586,10.0
robust_reg,dlt_only,all_constraints,0.6,0.75,0.8495615437700252,0.24046397948600234,0.26881720430107525,0.5312773248257119,0.7192842019520141,10.0
robust_reg,all_constraints,Any_DLT,0.6,0.75,0.9764577220994518,0.04742313238326184,0.8723404255319149,0.9001372683596431,0.8762882653390054,10.0
robust_reg,all_constraints,Blood,0.6,0.75,0.9198574018066126,0.17192168466203217,0.5106382978723404,0.6800960878517502,0.8779694322935978,10.0
robust_reg,all_constraints,Constitutional,0.6,0.75,0.9651112993360472,0.023496134028385823,0.925531914893617,0.9436401480111009,0.8897662240533712,10.0
robust_reg,all_constraints,Infection,0.6,0.75,0.9603858849912384,0.08087989307032403,0.7956989247311828,0.8168039350263098,0.8953282374798478,10.0
robust_reg,all_constraints,Gastrointestinal,0.6,0.75,0.9913742171806689,0.023669276648076006,0.9247311827956989,0.98258300838946,0.8794909302372134,10.0
robust_reg,all_constraints,Overall_Survival,0.6,0.75,11.753632443327463,0.4112715866722603,10.956872641451257,11.083387728625809,10.73627053744285,10.0
robust_reg,all_constraints,all_constraints,0.6,0.75,0.8742274520005869,0.2046721512852366,0.425531914893617,0.5457789979409745,0.7301192968794017,10.0
cp,dlt_only,Any_DLT,0.6,0.75,0.9923549568710859,0.017941179913466353,0.945054945054945,0.9751506557958171,0.8657041576983001,10.0
cp,dlt_only,Blood,0.6,0.75,0.9383079286305092,0.14213942089411333,0.5698924731182796,0.7888573791799598,0.8763221412611966,10.0
cp,dlt_only,Constitutional,0.6,0.75,0.9525086525674628,0.027575126058284768,0.9139784946236559,0.9148021047815145,0.8808517908425643,10.0
cp,dlt_only,Infection,0.6,0.75,0.9837528063334515,0.036425382381964765,0.8924731182795699,0.9397967623774075,0.8786714398776094,10.0
cp,dlt_only,Gastrointestinal,0.6,0.75,0.9989010989010989,0.0034750303957894156,0.989010989010989,0.9989010989010989,0.8721491870019203,10.0
cp,dlt_only,Overall_Survival,0.6,0.75,11.687963478470246,0.5385066219591154,10.8323244934559,10.928418177135098,10.708289431709586,10.0
cp,dlt_only,all_constraints,0.6,0.75,0.9006357942429914,0.14451012840303182,0.5161290322580645,0.7834810350939383,0.7192842019520141,10.0
cp,all_constraints,Any_DLT,0.6,0.75,0.9635092457203107,0.08851064998433862,0.7204301075268817,0.9050217341569434,0.8762882653390054,10.0
cp,all_constraints,Blood,0.6,0.75,0.89170255492769,0.23801301685097992,0.2903225806451613,0.6130748112560055,0.8779694322935978,10.0
cp,all_constraints,Constitutional,0.6,0.75,0.9704748853944511,0.018121155923381562,0.9361702127659575,0.9527079303675049,0.8897662240533712,10.0
cp,all_constraints,Infection,0.6,0.75,0.9322999209667021,0.178960144553783,0.43010752688172044,0.8568405399222147,0.8953282374798478,10.0
cp,all_constraints,Gastrointestinal,0.6,0.75,0.9988095238095237,0.0037646162621052,0.9880952380952381,0.9988095238095238,0.8794909302372134,10.0
cp,all_constraints,Overall_Survival,0.6,0.75,11.790432935410136,0.44998787060502576,10.93268275076196,11.001477090496616,10.73627053744285,10.0
cp,all_constraints,all_constraints,0.6,0.75,0.8577842844145571,0.25157054061763173,0.23655913978494625,0.5406771905742394,0.7301192968794017,10.0
