method,knob,fold,context_idx,slack,binding,lomo_flip,lomo_sd,x_star
margin,0.1,0,212,-0.15142772760669404,infection,0.0,0.005815424886034695,2005;1;42;0.738;68;0;1;0;0.709887;0;0;0;0;0;0;0;0;0;-0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;375;0;0;0;0;0;43.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;500;0;0;0;0;0;175;0;0;0;0;0;0
margin,0.1,0,214,-0.04486021483788427,blood,0.0,0.016789967375112805,2005;0;46;0.88;61;0;0.817644;0.129258;0.558;-0;0;1;-0;0;0;-0;0;-0;-0;-0;0;0;-0;-0;0;0;0;-0;-0;0;1;0;0;-0;0;0;0;0;0;1.666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66.66666667;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0
margin,0.1,0,230,-0.13855684562024811,infection,0.0,0.009437334185361924,2005;1;32;0.719;62;0;1;0;1.094;0;0;0;0;0;0;0;0;0;-0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;375;0;0;0;0;0;43.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;500;0;0;0;0;0;175;0;0;0;0;0;0
margin,0.1,0,231,-0.12137586095233449,blood,0.0,0.010200955265413404,2005;1;39;0.882;60;0;1;0;1.052;-0;0;1;-0;-0;0;-0;0;-0;-0;-0;-0;-0;-0;-0;-0;0;0;-0;-0;-0;1;-0;-0;-0;-0;-0;0;0;0;1.666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66.66666667;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0
margin,0.1,0,240,-0.1132996242669711,blood,0.0,0.013883860081168672,2005;1;40;0.75;62;0.625;1;0;0.680724;0;0;0;0;0;0;0;0;0;-0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;375;0;0;0;0;0;43.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;500;0;0;0;0;0;175;0;0;0;0;0;0
margin,0.1,0,246,-0.13765224406381743,constitutional,0.0,0.015105378450992794,2005;1;30;0.933;64.5;1;1;0;0.793015;0;0;0;0;0;0;0;0;0;-0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;375;0;0;0;0;0;43.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;500;0;0;0;0;0;175;0;0;0;0;0;0
margin,0.1,0,247,-0.11950111436690769,blood,0.0,0.01361367281896453,2005;0;46;0.674;61;0;1;0;0.934;0;0;0;0;0;0;0;0;0;-0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;375;0;0;0;0;0;43.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;500;0;0;0;0;0;175;0;0;0;0;0;0
margin,0.1,0,248,-0.14444570724177647,infection,0.0,0.007940787891660799,2005;1;32;0.656;60;0;1;0;1.163055;0;0;0;0;0;0;0;0;0;-0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;375;0;0;0;0;0;43.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;500;0;0;0;0;0;175;0;0;0;0;0;0
margin,0.1,0,249,-0.12899941849610996,infection,0.0,0.009478879367605155,2005;1;37;0.79;57;0;1;0;0.82515;0;0;0;0;0;0;0;0;0;-0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;375;0;0;0;0;0;43.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;500;0;0;0;0;0;175;0;0;0;0;0;0
margin,0.1,0,257,0.0026938569334215012,constitutional,0.3333333333333333,0.012949263768503924,2005;0;35;0.857;65;0.11;0.143;0;0.88;0;0;0;0;0;0;0;0;0;-0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;375;0;0;0;0;0;43.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;500;0;0;0;0;0;175;0;0;0;0;0;0
margin,0.1,0,275,-0.12214055479100538,blood,0.0,0.010597622736185034,2005;1;47;0.68;55;0;1;0;0.98;0;0;0;0;0;0;0;0;0;-0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;375;0;0;0;0;0;43.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;500;0;0;0;0;0;175;0;0;0;0;0;0
margin,0.1,0,298,-0.12574447348433254,infection,0.0,0.009239572768879736,2005;1;37;0.82;58;0.294;1;0;1.06;0;0;0;0;0;0;0;0;0;-0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;375;0;0;0;0;0;43.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;500;0;0;0;0;0;175;0;0;0;0;0;0
margin,0.1,0,302,-0.1278681573077513,blood,0.0,0.011895448562825605,2005;0;45;0.644;62;0;1;0;0.726;0;0;0;0;0;0;0;0;0;-0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500;0;0;0;375;0;0;0;0;0;43.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;500;0;0;0;0;0;175;0;0;0;0;0;0
