method,knob,fold,context_idx,solved,feasible,objective
wrapper@rho=1,0.3,6,-1,1.0,0.0,5.4996179014354745
wrapper@rho=1,0.3,7,-1,1.0,0.0,5.51284335820297
wrapper@rho=1,0.3,8,-1,1.0,0.0,5.517514946162865
wrapper@rho=1,0.3,9,-1,1.0,0.0,5.530373531365033
wrapper@rho=1,0.2,0,-1,1.0,0.0,5.518565896021181
wrapper@rho=1,0.2,1,-1,1.0,0.0,5.568237703844317
wrapper@rho=1,0.2,2,-1,1.0,0.0,5.577404918969845
wrapper@rho=1,0.2,3,-1,1.0,0.0,5.563628727246175
wrapper@rho=1,0.2,4,-1,1.0,0.0,5.538123185761646
wrapper@rho=1,0.2,5,-1,1.0,0.0,5.548773591659841
wrapper@rho=1,0.2,6,-1,1.0,0.0,5.513204232802821
wrapper@rho=1,0.2,7,-1,1.0,0.0,5.5302583496208
wrapper@rho=1,0.2,8,-1,1.0,0.0,5.544948473702532
wrapper@rho=1,0.2,9,-1,1.0,0.0,5.5625833427169535
wrapper@rho=1,0.15,0,-1,1.0,0.0,5.521275964630989
wrapper@rho=1,0.15,1,-1,1.0,0.0,5.5936554978846456
wrapper@rho=1,0.15,2,-1,1.0,0.0,5.601856798103883
wrapper@rho=1,0.15,3,-1,1.0,0.0,5.580513652418141
wrapper@rho=1,0.15,4,-1,1.0,0.0,5.5476016724519575
wrapper@rho=1,0.15,5,-1,1.0,0.0,5.5569791953345025
wrapper@rho=1,0.15,6,-1,1.0,0.0,5.535801316997475
wrapper@rho=1,0.15,7,-1,1.0,0.0,5.532014641869648
wrapper@rho=1,0.15,8,-1,1.0,0.0,5.551224395910144
wrapper@rho=1,0.15,9,-1,1.0,0.0,5.575101144534567
wrapper@rho=1,0.1,0,-1,1.0,0.0,5.529155708022414
wrapper@rho=1,0.1,1,-1,1.0,0.0,5.607626692697284
wrapper@rho=1,0.1,2,-1,1.0,0.0,5.607151182440745
wrapper@rho=1,0.1,3,-1,1.0,0.0,5.588589731616222
wrapper@rho=1,0.1,4,-1,1.0,0.0,5.559455308376114
wrapper@rho=1,0.1,5,-1,1.0,0.0,5.567306089607417
wrapper@rho=1,0.1,6,-1,1.0,0.0,5.5491321508411735
wrapper@rho=1,0.1,7,-1,1.0,0.0,5.5376374745598165
wrapper@rho=1,0.1,8,-1,1.0,0.0,5.576294283530749
wrapper@rho=1,0.1,9,-1,1.0,0.0,5.579835751743847
wrapper@rho=1,0.05,0,-1,1.0,0.0,5.530523082766202
wrapper@rho=1,0.05,1,-1,1.0,0.0,5.619462960966171
wrapper@rho=1,0.05,2,-1,1.0,0.0,5.618752629332087
wrapper@rho=1,0.05,3,-1,1.0,0.0,5.593736042374618
wrapper@rho=1,0.05,4,-1,1.0,0.0,5.568568547656582
wrapper@rho=1,0.05,5,-1,1.0,0.0,5.5770777530223565
wrapper@rho=1,0.05,6,-1,1.0,0.0,5.616537937643334
wrapper@rho=1,0.05,7,-1,1.0,0.0,5.540067304373005
wrapper@rho=1,0.05,8,-1,1.0,0.0,5.613715170580186
wrapper@rho=1,0.05,9,-1,1.0,0.0,5.610546481953703
wrapper@rho=1,0.0,0,-1,1.0,0.0,5.544131487298768
wrapper@rho=1,0.0,1,-1,1.0,0.0,5.626506996426267
wrapper@rho=1,0.0,2,-1,1.0,0.0,5.640007019527987
wrapper@rho=1,0.0,3,-1,1.0,0.0,5.621244112859884
wrapper@rho=1,0.0,4,-1,1.0,0.0,5.585881740888591
wrapper@rho=1,0.0,5,-1,1.0,0.0,5.609873332951363
wrapper@rho=1,0.0,6,-1,1.0,0.0,5.637098068036243
wrapper@rho=1,0.0,7,-1,1.0,0.0,5.5453446994759075
wrapper@rho=1,0.0,8,-1,1.0,0.0,5.63910842178415
wrapper@rho=1,0.0,9,-1,1.0,0.0,5.619845682608234
cp@rho=2,10.0,0,-1,1.0,0.0,5.576982962071992
cp@rho=2,10.0,1,-1,1.0,0.0,5.60432759441114
cp@rho=2,10.0,2,-1,1.0,0.0,5.372324844563439
cp@rho=2,10.0,3,-1,1.0,0.0,5.426483690446379
cp@rho=2,10.0,4,-1,1.0,0.0,5.542240469460974
cp@rho=2,10.0,5,-1,1.0,0.0,5.511883085022102
cp@rho=2,10.0,6,-1,1.0,0.0,5.598993218261168
cp@rho=2,10.0,7,-1,1.0,0.0,5.504892371403136
cp@rho=2,10.0,8,-1,1.0,0.0,5.429150827565729
cp@rho=2,10.0,9,-1,1.0,0.0,5.496489686134366
cp@rho=2,3.0,0,-1,1.0,0.0,5.7316987456260495
cp@rho=2,3.0,1,-1,1.0,0.0,5.6303815882671016
cp@rho=2,3.0,2,-1,1.0,0.0,5.629338966570391
cp@rho=2,3.0,3,-1,1.0,0.0,5.660446907013753
cp@rho=2,3.0,4,-1,1.0,0.0,5.750464762690832
cp@rho=2,3.0,5,-1,1.0,0.0,5.743553846950422
cp@rho=2,3.0,6,-1,1.0,0.0,5.630158459777274
cp@rho=2,3.0,7,-1,1.0,0.0,5.651687956566166
cp@rho=2,3.0,8,-1,1.0,0.0,5.609565549454897
cp@rho=2,3.0,9,-1,1.0,0.0,5.5838221371017065
cp@rho=2,1.0,0,-1,1.0,1.0,5.837441533631203
cp@rho=2,1.0,1,-1,1.0,1.0,5.842094361001961
cp@rho=2,1.0,2,-1,1.0,1.0,5.813075587094076
cp@rho=2,1.0,3,-1,1.0,1.0,5.828369182670198
cp@rho=2,1.0,4,-1,1.0,1.0,5.811057513705432
cp@rho=2,1.0,5,-1,1.0,0.0,5.743553846950422
cp@rho=2,1.0,6,-1,1.0,1.0,5.82277509148844
cp@rho=2,1.0,7,-1,1.0,0.0,5.764584334716716
cp@rho=2,1.0,8,-1,1.0,1.0,5.757847026245131
cp@rho=2,1.0,9,-1,1.0,0.0,5.733964461655029
cp@rho=2,0.3,0,-1,1.0,1.0,5.883677361192175
cp@rho=2,0.3,1,-1,1.0,1.0,5.842094361001961
cp@rho=2,0.3,2,-1,1.0,1.0,5.861160393269403
cp@rho=2,0.3,3,-1,1.0,1.0,5.828369182670198
cp@rho=2,0.3,4,-1,1.0,1.0,5.825304032284938
cp@rho=2,0.3,5,-1,1.0,1.0,5.770292555921806
cp@rho=2,0.3,6,-1,1.0,1.0,5.82277509148844
cp@rho=2,0.3,7,-1,1.0,0.0,5.7666830961836695
cp@rho=2,0.3,8,-1,1.0,1.0,5.8078427640024515
cp@rho=2,0.3,9,-1,1.0,1.0,5.751658039717806
cp@rho=2,0.1,0,-1,1.0,1.0,5.883677361192175
cp@rho=2,0.1,1,-1,1.0,1.0,5.842094361001961
cp@rho=2,0.1,2,-1,1.0,1.0,5.861160393269403
cp@rho=2,0.1,3,-1,1.0,1.0,5.828369182670198
cp@rho=2,0.1,4,-1,1.0,1.0,5.825304032284938
cp@rho=2,0.1,5,-1,1.0,1.0,5.770292555921806
cp@rho=2,0.1,6,-1,1.0,1.0,5.82277509148844
cp@rho=2,0.1,7,-1,1.0,0.0,5.769523086669195
cp@rho=2,0.1,8,-1,1.0,1.0,5.8078427640024515
cp@rho=2,0.1,9,-1,1.0,1.0,5.751658039717806
cp@rho=2,0.03,0,-1,1.0,1.0,5.883677361192175
cp@rho=2,0.03,1,-1,1.0,1.0,5.84482508217128
cp@rho=2,0.03,2,-1,1.0,1.0,5.861160393269403
cp@rho=2,0.03,3,-1,1.0,1.0,5.828369182670198
cp@rho=2,0.03,4,-1,1.0,1.0,5.825304032284938
cp@rho=2,0.03,5,-1,1.0,1.0,5.770292555921806
cp@rho=2,0.03,6,-1,1.0,1.0,5.82277509148844
cp@rho=2,0.03,7,-1,1.0,0.0,5.769523086669195
cp@rho=2,0.03,8,-1,1.0,1.0,5.8078427640024515
cp@rho=2,0.03,9,-1,1.0,1.0,5.751658039717806
cp@rho=2,0.01,0,-1,1.0,1.0,5.883677361192175
cp@rho=2,0.01,1,-1,1.0,1.0,5.845626198789044
cp@rho=2,0.01,2,-1,1.0,1.0,5.861160393269403
cp@rho=2,0.01,3,-1,1.0,1.0,5.828369182670198
cp@rho=2,0.01,4,-1,1.0,1.0,5.825304032284938
cp@rho=2,0.01,5,-1,1.0,1.0,5.770292555921806
cp@rho=2,0.01,6,-1,1.0,1.0,5.82277509148844
cp@rho=2,0.01,7,-1,1.0,0.0,5.769523086669195
cp@rho=2,0.01,8,-1,1.0,1.0,5.8078427640024515
cp@rho=2,0.01,9,-1,1.0,1.0,5.751658039717806
cp@rho=2,0.003,0,-1,1.0,1.0,5.883677361192175
cp@rho=2,0.003,1,-1,1.0,1.0,5.845626198789044
cp@rho=2,0.003,2,-1,1.0,1.0,5.861160393269403
cp@rho=2,0.003,3,-1,1.0,1.0,5.828369182670198
cp@rho=2,0.003,4,-1,1.0,1.0,5.825304032284938
cp@rho=2,0.003,5,-1,1.0,1.0,5.770292555921806
cp@rho=2,0.003,6,-1,1.0,1.0,5.82277509148844
cp@rho=2,0.003,7,-1,1.0,0.0,5.769523086669195
cp@rho=2,0.003,8,-1,1.0,1.0,5.8078427640024515
cp@rho=2,0.003,9,-1,1.0,1.0,5.751658039717806
cp@rho=2,0.001,0,-1,1.0,1.0,5.883677361192175
cp@rho=2,0.001,1,-1,1.0,1.0,5.845626198789044
cp@rho=2,0.001,2,-1,1.0,1.0,5.861160393269403
cp@rho=2,0.001,3,-1,1.0,1.0,5.828369182670198
cp@rho=2,0.001,4,-1,1.0,1.0,5.825304032284938
cp@rho=2,0.001,5,-1,1.0,1.0,5.770292555921806
cp@rho=2,0.001,6,-1,1.0,1.0,5.82277509148844
cp@rho=2,0.001,7,-1,1.0,0.0,5.769523086669195
cp@rho=2,0.001,8,-1,1.0,1.0,5.8078427640024515
cp@rho=2,0.001,9,-1,1.0,1.0,5.751658039717806
cp@rho=2,0.0003,0,-1,1.0,1.0,5.883677361192175
cp@rho=2,0.0003,1,-1,1.0,1.0,5.845626198789044
cp@rho=2,0.0003,2,-1,1.0,1.0,5.861160393269403
cp@rho=2,0.0003,3,-1,1.0,1.0,5.828369182670198
cp@rho=2,0.0003,4,-1,1.0,1.0,5.825304032284938
cp@rho=2,0.0003,5,-1,1.0,1.0,5.770292555921806
cp@rho=2,0.0003,6,-1,1.0,1.0,5.82277509148844
cp@rho=2,0.0003,7,-1,1.0,0.0,5.769523086669195
cp@rho=2,0.0003,8,-1,1.0,1.0,5.8078427640024515
cp@rho=2,0.0003,9,-1,1.0,1.0,5.751658039717806
cp@rho=2,0.0001,0,-1,1.0,1.0,5.883677361192175
cp@rho=2,0.0001,1,-1,1.0,1.0,5.845626198789044
cp@rho=2,0.0001,2,-1,1.0,1.0,5.861160393269403
cp@rho=2,0.0001,3,-1,1.0,1.0,5.828369182670198
cp@rho=2,0.0001,4,-1,1.0,1.0,5.825304032284938
cp@rho=2,0.0001,5,-1,1.0,1.0,5.770292555921806
cp@rho=2,0.0001,6,-1,1.0,1.0,5.82277509148844
cp@rho=2,0.0001,7,-1,1.0,0.0,5.769523086669195
cp@rho=2,0.0001,8,-1,1.0,1.0,5.8078427640024515
cp@rho=2,0.0001,9,-1,1.0,1.0,5.751658039717806
wrapper@rho=2,0.95,0,-1,1.0,0.0,5.267647675293743
wrapper@rho=2,0.95,1,-1,1.0,0.0,4.8980485670839755
wrapper@rho=2,0.95,2,-1,1.0,0.0,5.028686295817048
wrapper@rho=2,0.95,3,-1,1.0,0.0,5.141980476445484
wrapper@rho=2,0.95,4,-1,1.0,0.0,5.216363990091506
wrapper@rho=2,0.95,5,-1,1.0,0.0,5.260305894241627
wrapper@rho=2,0.95,6,-1,1.0,0.0,5.1638074830474
wrapper@rho=2,0.95,7,-1,1.0,0.0,5.0837862887282865
wrapper@rho=2,0.95,8,-1,1.0,0.0,5.170167894828637
wrapper@rho=2,0.95,9,-1,1.0,0.0,5.151951609549331
wrapper@rho=2,0.9,0,-1,1.0,0.0,5.297793127255179
wrapper@rho=2,0.9,1,-1,1.0,0.0,5.320989760247859
wrapper@rho=2,0.9,2,-1,1.0,0.0,5.325230029926297
wrapper@rho=2,0.9,3,-1,1.0,0.0,5.39146134965251
wrapper@rho=2,0.9,4,-1,1.0,0.0,5.313811191557033
wrapper@rho=2,0.9,5,-1,1.0,0.0,5.31770181828732
wrapper@rho=2,0.9,6,-1,1.0,0.0,5.2960784076246705
wrapper@rho=2,0.9,7,-1,1.0,0.0,5.316239025045674
wrapper@rho=2,0.9,8,-1,1.0,0.0,5.21656600407157
wrapper@rho=2,0.9,9,-1,1.0,0.0,5.268741273582462
wrapper@rho=2,0.8,0,-1,1.0,0.0,5.386710637372319
wrapper@rho=2,0.8,1,-1,1.0,0.0,5.389255560878663
wrapper@rho=2,0.8,2,-1,1.0,0.0,5.419966968480139
wrapper@rho=2,0.8,3,-1,1.0,0.0,5.424937274111513
wrapper@rho=2,0.8,4,-1,1.0,0.0,5.39997008023738
wrapper@rho=2,0.8,5,-1,1.0,0.0,5.402340060730026
wrapper@rho=2,0.8,6,-1,1.0,0.0,5.387975615539402
wrapper@rho=2,0.8,7,-1,1.0,0.0,5.3920033570215695
wrapper@rho=2,0.8,8,-1,1.0,0.0,5.314612935626592
wrapper@rho=2,0.8,9,-1,1.0,0.0,5.36769625184532
wrapper@rho=2,0.7,0,-1,1.0,0.0,5.421040399459872
wrapper@rho=2,0.7,1,-1,1.0,0.0,5.461194183290433
wrapper@rho=2,0.7,2,-1,1.0,0.0,5.46249861631425
wrapper@rho=2,0.7,3,-1,1.0,0.0,5.469935725146911
wrapper@rho=2,0.7,4,-1,1.0,0.0,5.445966079782264
wrapper@rho=2,0.7,5,-1,1.0,0.0,5.424652146333237
wrapper@rho=2,0.7,6,-1,1.0,0.0,5.416955563714621
wrapper@rho=2,0.7,7,-1,1.0,0.0,5.433120028165769
wrapper@rho=2,0.7,8,-1,1.0,0.0,5.403942369689028
wrapper@rho=2,0.7,9,-1,1.0,0.0,5.398402297508021
wrapper@rho=2,0.6,0,-1,1.0,0.0,5.434694912364019
wrapper@rho=2,0.6,1,-1,1.0,0.0,5.484260210085759
wrapper@rho=2,0.6,2,-1,1.0,0.0,5.488528379887035
wrapper@rho=2,0.6,3,-1,1.0,0.0,5.50393036131875
wrapper@rho=2,0.6,4,-1,1.0,0.0,5.492176185613445
wrapper@rho=2,0.6,5,-1,1.0,0.0,5.452609622597192
wrapper@rho=2,0.6,6,-1,1.0,0.0,5.465347071876787
wrapper@rho=2,0.6,7,-1,1.0,0.0,5.452150795778439
wrapper@rho=2,0.6,8,-1,1.0,0.0,5.446332722433423
wrapper@rho=2,0.6,9,-1,1.0,0.0,5.432676847880673
wrapper@rho=2,0.5,0,-1,1.0,0.0,5.461217793535567
wrapper@rho=2,0.5,1,-1,1.0,0.0,5.513511378992529
wrapper@rho=2,0.5,2,-1,1.0,0.0,5.528913560923395
wrapper@rho=2,0.5,3,-1,1.0,0.0,5.528371902624799
wrapper@rho=2,0.5,4,-1,1.0,0.0,5.5262975878257015
wrapper@rho=2,0.5,5,-1,1.0,0.0,5.4946372502575125
wrapper@rho=2,0.5,6,-1,1.0,0.0,5.516282568536456
wrapper@rho=2,0.5,7,-1,1.0,0.0,5.465852932199773
