method,knob,fold,context_idx,solved,feasible,objective
cp@rho=0.5,0.1,0,246,0.0,nan,nan
cp@rho=0.5,0.1,0,247,1.0,1.0,11.193915431619883
cp@rho=0.5,0.1,0,248,1.0,1.0,10.794829557072438
cp@rho=0.5,0.1,0,249,1.0,1.0,11.612876726651331
cp@rho=0.5,0.1,0,257,1.0,0.0,10.561442252487097
cp@rho=0.5,0.1,0,275,1.0,1.0,11.531196494272308
cp@rho=0.5,0.1,0,298,1.0,1.0,10.96965360411084
cp@rho=0.5,0.1,0,302,1.0,1.0,11.271798224564956
cp@rho=0.5,0.1,0,303,1.0,1.0,11.215724347069099
cp@rho=0.5,0.1,0,317,1.0,1.0,11.202079259879207
cp@rho=0.5,0.1,1,0,1.0,0.0,11.4939214241286
cp@rho=0.5,0.1,1,10,1.0,1.0,9.614015323792232
cp@rho=0.5,0.1,1,22,1.0,0.0,8.62590805601966
cp@rho=0.5,0.1,1,28,1.0,1.0,11.36157746335955
cp@rho=0.5,0.1,1,42,1.0,1.0,11.214213368288275
cp@rho=0.5,0.1,1,43,1.0,1.0,11.282873926134863
cp@rho=0.5,0.1,1,63,1.0,1.0,11.649489719303437
cp@rho=0.5,0.1,1,92,1.0,1.0,10.507402025724259
cp@rho=0.5,0.1,1,93,1.0,0.0,11.519223809546268
cp@rho=0.5,0.1,1,109,1.0,1.0,12.500624944501638
cp@rho=0.5,0.1,1,113,1.0,1.0,11.363821468775347
cp@rho=0.5,0.1,1,120,1.0,1.0,11.966966235132949
cp@rho=0.5,0.1,1,122,1.0,1.0,12.026461284565158
cp@rho=0.5,0.1,1,123,1.0,1.0,12.23805266210316
cp@rho=0.5,0.1,1,124,1.0,1.0,11.672870010029799
cp@rho=0.5,0.1,1,139,1.0,1.0,11.338911730673813
cp@rho=0.5,0.1,1,143,1.0,1.0,8.75388511802661
cp@rho=0.5,0.1,1,159,1.0,1.0,12.131588737122636
cp@rho=0.5,0.1,1,160,1.0,1.0,10.621665745742254
cp@rho=0.5,0.1,1,188,1.0,0.0,9.803636209024097
cp@rho=0.5,0.1,1,189,1.0,1.0,11.391750648158313
cp@rho=0.5,0.1,1,195,1.0,1.0,11.501788653925923
cp@rho=0.5,0.1,1,198,0.0,nan,nan
cp@rho=0.5,0.1,1,211,0.0,nan,nan
cp@rho=0.5,0.1,1,217,1.0,1.0,11.26396989422073
cp@rho=0.5,0.1,1,244,1.0,1.0,7.33367014495786
cp@rho=0.5,0.1,1,245,1.0,1.0,9.704424042065616
cp@rho=0.5,0.1,1,264,1.0,1.0,10.570155936406412
cp@rho=0.5,0.1,1,267,1.0,1.0,9.032972030504595
cp@rho=0.5,0.1,1,268,1.0,1.0,11.325947574886174
cp@rho=0.5,0.1,1,273,1.0,1.0,11.239069243543796
cp@rho=0.5,0.1,1,293,0.0,nan,nan
cp@rho=0.5,0.1,1,314,1.0,1.0,10.479620407974053
cp@rho=0.5,0.1,2,30,1.0,1.0,9.944038813434311
cp@rho=0.5,0.1,2,53,1.0,1.0,10.73741082789318
cp@rho=0.5,0.1,2,62,1.0,1.0,11.495432190976182
cp@rho=0.5,0.1,2,64,1.0,1.0,9.916096314678734
cp@rho=0.5,0.1,2,65,1.0,1.0,10.525415577234325
cp@rho=0.5,0.1,2,66,1.0,1.0,9.311488631859332
cp@rho=0.5,0.1,2,74,1.0,1.0,9.933438838654853
cp@rho=0.5,0.1,2,99,0.0,nan,nan
cp@rho=0.5,0.1,2,102,1.0,1.0,10.992131097578115
cp@rho=0.5,0.1,2,103,1.0,1.0,11.7601226311493
cp@rho=0.5,0.1,2,104,1.0,1.0,9.61436776508535
cp@rho=0.5,0.1,2,106,1.0,1.0,11.748879581207374
cp@rho=0.5,0.1,2,114,1.0,1.0,10.764309972351606
cp@rho=0.5,0.1,2,116,1.0,1.0,11.465146887986862
cp@rho=0.5,0.1,2,126,1.0,1.0,11.26539398540001
cp@rho=0.5,0.1,2,127,1.0,1.0,12.091734698478787
cp@rho=0.5,0.1,2,132,1.0,1.0,9.126530117550901
cp@rho=0.5,0.1,2,135,1.0,0.0,9.90623313841902
cp@rho=0.5,0.1,2,136,1.0,0.0,9.915779653139449
cp@rho=0.5,0.1,2,137,1.0,0.0,9.921006110863743
cp@rho=0.5,0.1,2,193,1.0,1.0,9.932956401418219
