method,knob,n_dec,feas,undecided_k0.25,feas_lo_k0.25,feas_hi_k0.25,undecided_k0.5,feas_lo_k0.5,feas_hi_k0.5,undecided_k1,feas_lo_k1,feas_hi_k1,lomo_flip_mean,lomo_any_frac,lomo_sd_median,target_inside_band,median_abs_z
margin,5.0,10,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5680285789370745,False,2.32001827151646
nominal,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.508311376657274,False,1.7556549387040463
wrapper@rho=1,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.48081564032716556,False,1.1418340338539528
wrapper@rho=1,0.05,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.48787388260704506,False,1.3233474049128753
wrapper@rho=1,0.1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5083359460752314,False,1.314757820291884
wrapper@rho=1,0.15,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48491131579333274,False,1.2907052918796018
wrapper@rho=1,0.2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4977222638983352,False,1.2923846707810225
wrapper@rho=1,0.3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47245628793001726,False,1.4674828840853946
wrapper@rho=1,0.4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4618131245682216,False,1.5150297167883497
wrapper@rho=1,0.5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4287428357484214,False,1.572092472334762
wrapper@rho=1,0.6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5059400346050735,False,1.616899635497671
wrapper@rho=1,0.7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4848846793216912,False,1.797609936808843
wrapper@rho=1,0.8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482423292163365,False,1.9569472117396738
