problem,method,rho,dial,dial_name,faces_D,feasibility,objective,solved_frac,status,n_capped,master_time_s,test_time_s,test_time_per_point_s,objective_sense,coherent,matched_bank,seed,cp_alpha,phase,note
gastric,cp,1.0,0.3,tau,True,0.8466540203400603,10.624392887419098,0.9291271791271792,coverage_cap|optimal,0,7.434449553489685,6.944997549057007,0.1915861392843312,max,False,False,42,,dial,
gastric,cp,1.0,0.1,tau,True,0.9375,9.840606464476128,0.8701591201591201,coverage_cap,0,49.014628887176514,10.09365028142929,0.2784455250049459,max,False,False,42,,dial,
gastric,cp,1.0,0.03,tau,True,0.968358395989975,9.578364589658843,0.763045513045513,coverage_cap,0,305.70446240901947,17.515672862529755,0.4831909755180621,max,False,False,42,,dial,
gastric,cp,1.0,0.01,tau,True,0.9802631578947368,9.500214743650314,0.7276237276237276,coverage_cap,0,603.6479345560074,25.2696345448494,0.6970933667544661,max,False,False,42,,dial,
gastric,cp,1.0,0.003,tau,True,0.984375,9.43075176639027,0.6329413829413829,coverage_cap,0,860.4412869811058,26.75741070508957,0.7381354677266088,max,False,False,42,,dial,
gastric,cp,1.0,0.001,tau,True,0.984375,9.331888260068114,0.6253656253656253,coverage_cap,0,1008.834435582161,30.42690724134445,0.8393629583819159,max,False,False,42,,dial,
gastric,cp,1.0,0.0003,tau,True,0.984375,9.298187809658296,0.6329413829413829,coverage_cap,0,1023.301304936409,29.83962202072144,0.8231619867785224,max,False,False,42,,dial,
gastric,cp,1.0,0.0001,tau,True,0.984375,9.297587712519793,0.6329413829413829,coverage_cap,0,1031.5095562934875,28.941438734531403,0.7983845168146594,max,False,False,42,,dial,
gastric,wrapper,1.0,0.95,alpha,True,0.8189256958822175,11.237697868229924,0.6645752895752897,optimal,0,6.815499424934387,28.109329342842106,0.7754297749749546,max,False,False,42,,dial,
gastric,wrapper,1.0,0.9,alpha,True,0.8407118807118807,11.249894293978508,0.656999531999532,optimal,0,6.862515568733215,27.709677159786224,0.7644048871665166,max,False,False,42,,dial,
gastric,wrapper,1.0,0.8,alpha,True,0.8726984126984126,11.222075013256754,0.6494237744237744,optimal,0,6.900676071643829,29.82143986225128,0.8226604099931388,max,False,False,42,,dial,
gastric,wrapper,1.0,0.7,alpha,True,0.8726984126984126,11.108672589605977,0.6494237744237744,optimal,0,11.111843466758728,30.6459236741066,0.8454047910098372,max,False,False,42,,dial,
gastric,wrapper,1.0,0.6,alpha,True,0.9026124338624338,10.901127495774986,0.6434713934713934,optimal,0,9.31271243095398,35.89727985858917,0.99026978920246,max,False,False,42,,dial,
gastric,wrapper,1.0,0.5,alpha,True,0.9192763157894736,10.870025028308,0.6148063648063649,optimal,0,8.356710195541382,37.8305299282074,1.0436008256057212,max,False,False,42,,dial,
gastric,wrapper,1.0,0.4,alpha,True,0.9297549019607844,10.888094992363524,0.592079092079092,optimal,0,13.743268072605131,39.97041469812393,1.1026321296034187,max,False,False,42,,dial,
gastric,wrapper,1.0,0.3,alpha,True,0.9417613636363636,10.775712079978122,0.5642330642330642,optimal,0,13.277845084667206,42.63475549221039,1.1761311859920107,max,False,False,42,,dial,
gastric,wrapper,1.0,0.2,alpha,True,0.96875,10.627756170988972,0.5052650052650052,optimal,0,11.326092541217804,47.40991419553757,1.307859701945864,max,False,False,42,,dial,
gastric,wrapper,1.0,0.15,alpha,True,0.9782608695652174,10.525880245120629,0.469009594009594,optimal,0,14.110592186450958,53.05713456869125,1.4636450915501036,max,False,False,42,,dial,
gastric,wrapper,1.0,0.1,alpha,True,0.9772727272727272,10.555234064498418,0.4335731835731835,optimal,0,17.306101202964783,50.78375375270844,1.40093113800575,max,False,False,42,,dial,
gastric,wrapper,1.0,0.05,alpha,True,0.9875,9.976781931762904,0.3432490932490932,optimal,0,17.998797595500946,47.3466357588768,1.3061140899000496,max,False,False,42,,dial,
gastric,wrapper,1.0,0.0,alpha,True,1.0,9.551926167441373,0.2629285129285129,optimal,0,19.684003055095676,35.95306867361069,0.9918087909961568,max,False,False,42,,dial,
gastric,nominal,,0.0,none,False,0.8911458333333333,11.302147218982885,0.9510354510354512,optimal,0,0.3097859025001526,5.9423728585243225,0.1639275271317054,max,False,False,42,,reference,no dial
gastric,margin,,0.0,margin,False,0.8911458333333333,11.302147218982885,0.9510354510354512,optimal,0,0.4698934555053711,5.555300295352936,0.153249663320081,max,False,False,42,,dial,
gastric,margin,,0.1,margin,False,0.8993341727716727,11.19182788526136,0.929931554931555,optimal,0,0.4394732713699341,5.688522040843964,0.1569247459543162,max,False,False,42,,dial,
gastric,margin,,0.2,margin,False,0.9306223290598292,10.974085279495563,0.9223557973557974,optimal,0,0.5113446712493896,5.790575563907623,0.1597400155560723,max,False,False,42,,dial,
gastric,margin,,0.3,margin,False,0.9281536172161172,10.681606589921408,0.8777202527202528,optimal,0,0.4954055547714233,5.681199312210083,0.1567227396471747,max,False,False,42,,dial,
gastric,margin,,0.4,margin,False,0.9544642857142858,10.21535839860687,0.8328214578214578,optimal,0,0.6374916434288025,5.890844523906708,0.1625060558319092,max,False,False,42,,dial,
gastric,margin,,0.5,margin,False,0.9615942028985508,9.852660515016348,0.6488826488826489,optimal,0,0.6967549920082092,5.643011689186096,0.1556692879775474,max,False,False,42,,dial,
gastric,margin,,0.625,margin,False,0.9852941176470588,9.39975386955228,0.418992043992044,optimal,0,0.6597052812576294,4.097816109657288,0.1130432030250286,max,False,False,42,,dial,
gastric,margin,,0.75,margin,False,1.0,8.78250046992688,0.2028782028782028,optimal,0,0.90158873796463,2.4715495109558105,0.0681806761642982,max,False,False,42,,dial,
gastric,margin,,0.875,margin,False,1.0,9.697425681603876,0.0059523809523809,optimal,0,1.784472405910492,0.955281674861908,0.026352597927225,max,False,False,42,,dial,
gastric,margin,,1.0,margin,False,,,0.0,optimal,0,1.4504616856575012,0.4368438720703125,0.0120508654364224,max,False,False,42,,dial,
